id_personaje,nombre_real,personaje,inteligencia,fuerza,velocidad,poder,aparicion,ocupacion,id_creador
1,"Bruce Banner",Hulk,160,600mil,75,98,1962,"Fisico Nuclear",1
2,"Tony Stark","Iron Man",170,200mil,70,123,1963,"Inventor Industrial",1
3,"Thor Odinson",Thor,145,infinita,100,235,1962,"Rey de Asgard",1
4,"Wanda Maximoff","Bruja Escarlata",170,100mil,90,345,1964,Bruja,1
5,"Carol Danvers","Capitana Marvel",157,250mil,85,128,1968,"Oficial de Inteligencia",1
6,Thanos,Thanos,170,infinita,40,306,1973,"Adorador de la Muerte",1
7,"Peter Parker",Spiderman,165,25mil,80,74,1962,Fotógrafo,1
8,"Steve Rogers","Capitan America",145,600,45,60,1941,"Oficial Federal",1
9,"Bobby Drake","Ice Man",140,2mil,62,122,1963,Contador,1
11,"Bruce Wayne",Batman,170,500,32,47,1939,"Hombre de Negocios",2
12,"Clarck Kent",Superman,165,infinita,120,182,1938,Reportero,2
13,"Diana Prince","Mujer Maravilla",160,infinita,95,127,1949,"Princesa Guerrera",2
